"issue_key","created","resolutiondate","days_to_solve"
"MNG-2690","2006-12-07","2009-02-25","811"
"MNG-3209","2007-09-14","2007-11-27","74"
"MNG-3717","2008-08-15","2008-08-15","0"
"MNG-4785","2010-08-30","2010-09-09","10"
"MNG-1138","2005-10-08","2007-09-02","694"
"MNG-3040","2007-06-07","2007-09-02","87"
"MNG-2087","2006-02-20","2006-02-20","0"
"MNG-2409","2006-06-27","2009-12-27","1279"
"MNG-169","2005-03-08","2005-04-05","28"
"MNG-432","2005-05-26","2005-06-18","23"
"MNG-375","2005-05-09","2005-05-10","1"
"MNG-489","2005-06-18","2005-06-20","2"
"MNG-5572","2014-01-29","2014-02-08","10"
"MNG-4955","2010-12-28","2011-01-03","6"
"MNG-3697","2008-08-06","2008-08-08","2"
"MNG-866","2005-09-12","2005-09-12","0"
"MNG-227","2005-03-29","2005-04-26","28"
"MNG-2788","2007-01-22","2007-09-12","233"
"MNG-2699","2006-12-11","2007-01-03","23"
"MNG-3599","2008-05-26","2008-07-28","63"
"MNG-2464","2006-07-25","2007-11-09","472"
"MNG-4666","2010-05-05","2010-05-15","10"
"MNG-2801","2007-01-30","2007-01-31","1"
"MNG-1379","2005-10-31","2007-01-09","435"
"MNG-3833","2008-11-11","2008-11-11","0"
"MNG-4590","2010-03-15","2010-03-15","0"
"MNG-3139","2007-08-07","2009-02-24","567"
"MNG-1923","2006-01-05","2006-01-16","11"
"MNG-2222","2006-04-11","2010-03-26","1445"
"MNG-4840","2010-09-27","2011-01-04","99"
"MNG-4022","2009-02-05","2010-04-06","425"
"MNG-5312","2012-07-17","2012-07-18","1"
"MNG-5494","2013-07-13","2014-02-10","212"
"MNG-790","2005-08-26","2005-08-26","0"
"MNG-619","2005-07-20","2005-07-20","0"
"MNG-4884","2010-11-02","2010-11-18","16"
"MNG-5000","2011-01-31","2011-02-20","20"
"MNG-4087","2009-03-15","2009-03-15","0"
"MNG-5053","2011-03-23","2012-11-13","601"
"MNG-2002","2006-01-23","2006-01-23","0"
"MNG-309","2005-04-13","2005-04-25","12"
"MNG-3270","2007-11-04","2007-11-04","0"
"MNG-5612","2014-03-30","2014-03-30","0"
"MNG-3813","2008-11-01","2008-11-12","11"
"MNG-4695","2010-05-31","2010-05-31","0"
"MNG-3887","2008-12-02","2009-01-25","54"
"MNG-3037","2007-06-05","2007-06-05","0"
"MNG-1413","2005-11-03","2005-11-03","0"
"MNG-5125","2011-06-28","2012-07-30","398"
"MNG-5043","2011-03-14","2011-03-14","0"
"MNG-3925","2008-12-19","2009-03-23","94"
"MNG-20","2004-06-29","2004-06-30","1"
"MNG-3995","2009-01-20","2009-02-06","17"
"MNG-279","2005-04-09","2005-04-25","16"
"MNG-3297","2007-11-21","2010-03-25","855"
