"issue_key","created","resolutiondate","days_to_solve"
"LUCENE-2496","2010-06-10","2010-10-30","142"
"LUCENE-1002","2007-09-18","2008-01-17","121"
"SOLR-3610","2012-07-09","2012-07-10","1"
"SOLR-5920","2014-03-27","2014-03-29","2"
"SOLR-4768","2013-04-26","2013-04-26","0"
"SOLR-4634","2013-03-22","2013-03-23","1"
"SOLR-5227","2013-09-09","2013-09-10","1"
"LUCENE-1197","2008-02-29","2008-02-29","0"
"SOLR-4162","2012-12-10","2012-12-10","0"
"SOLR-1103","2009-04-07","2009-09-02","148"
"LUCENE-2536","2010-07-13","2010-07-13","0"
"LUCENE-781","2007-01-22","2007-07-26","185"
"LUCENE-523","2006-03-18","2007-05-12","420"
"SOLR-6015","2014-04-25","2014-06-16","52"
"SOLR-7309","2015-03-25","2015-03-27","2"
"LUCENE-6486","2015-05-16","2015-05-20","4"
"SOLR-3005","2012-01-05","2012-02-14","40"
"SOLR-5133","2013-08-10","2013-08-14","4"
"SOLR-2252","2010-11-25","2010-11-30","5"
"SOLR-3730","2012-08-15","2012-08-30","15"
"SOLR-5494","2013-11-23","2013-11-23","0"
"LUCENE-2819","2010-12-18","2010-12-19","1"
"SOLR-7038","2015-01-26","2015-02-26","31"
"SOLR-672","2008-08-02","2008-08-05","3"
"LUCENE-4375","2012-09-11","2012-09-12","1"
"SOLR-7243","2015-03-13","2015-05-12","60"
"SOLR-323","2007-07-29","2007-08-06","8"
"LUCENE-2382","2010-04-07","2011-01-24","292"
"LUCENE-4222","2012-07-16","2012-07-16","0"
"SOLR-400","2007-10-29","2008-04-16","170"
"SOLR-5760","2014-02-21","2014-03-03","10"
"SOLR-5164","2013-08-15","2013-08-16","1"
"LUCENE-4080","2012-05-28","2012-07-04","37"
"SOLR-7605","2015-05-29","2015-06-12","14"
"SOLR-2353","2011-02-09","2011-02-13","4"
"SOLR-5371","2013-10-20","2013-10-20","0"
"SOLR-3833","2012-09-13","2012-09-15","2"
"SOLR-1202","2009-06-04","2009-06-04","0"
"LUCENE-240","2004-07-11","2006-05-27","685"
"SOLR-1914","2010-05-14","2011-01-07","238"
"LUCENE-4915","2013-04-07","2013-04-10","3"
"LUCENE-4431","2012-09-25","2013-01-15","112"
"SOLR-1322","2009-08-01","2009-08-04","3"
"LUCENE-3","2001-10-11","2006-05-27","1689"
"LUCENE-4937","2013-04-16","2013-04-16","0"
"SOLR-5357","2013-10-16","2013-10-19","3"
"SOLR-4358","2013-01-25","2013-04-19","84"
"LUCENE-104","2003-04-21","2005-09-03","866"
"LUCENE-1668","2009-05-30","2009-06-01","2"
"LUCENE-6368","2015-03-22","2015-03-23","1"
"SOLR-481","2008-02-18","2008-02-20","2"
"LUCENE-5055","2013-06-13","2013-06-15","2"
"LUCENE-1866","2009-08-27","2012-04-04","951"
"SOLR-2333","2011-01-24","2011-04-20","86"
"LUCENE-2103","2009-12-02","2009-12-07","5"
"SOLR-6112","2014-05-25","2014-06-27","33"
"LUCENE-3977","2012-04-12","2012-04-21","9"
"LUCENE-2422","2010-04-29","2010-05-04","5"
"LUCENE-5119","2013-07-18","2013-07-19","1"
"LUCENE-2839","2010-12-28","2011-01-09","12"
"LUCENE-2618","2010-08-24","2010-11-15","83"
"SOLR-2315","2011-01-15","2011-01-19","4"
"SOLR-7168","2015-02-26","2015-04-06","39"
"LUCENE-536","2006-03-31","2006-04-15","15"
"SOLR-7712","2015-06-22","2015-06-29","7"
"LUCENE-6529","2015-06-06","2015-06-12","6"
"LUCENE-5601","2014-04-11","2014-04-11","0"
"SOLR-3633","2012-07-17","2013-07-16","364"
"SOLR-7300","2015-03-24","2015-05-19","56"
"LUCENE-2153","2009-12-11","2009-12-11","0"
"SOLR-6705","2014-11-05","2014-11-11","6"
"LUCENE-4248","2012-07-23","2012-07-23","0"
"SOLR-6735","2014-11-13","2015-01-04","52"
"LUCENE-3709","2012-01-19","2012-01-20","1"
"SOLR-6583","2014-10-03","2015-04-20","199"
"SOLR-6002","2014-04-21","2014-07-28","98"
"LUCENE-2703","2010-10-14","2010-10-17","3"
"LUCENE-3860","2012-03-11","2012-03-11","0"
"SOLR-5580","2013-12-27","2013-12-30","3"
"SOLR-2554","2011-05-29","2011-06-15","17"
"SOLR-4568","2013-03-13","2013-03-15","2"
"SOLR-5090","2013-07-30","2014-05-05","279"
"LUCENE-4071","2012-05-21","2012-05-22","1"
"LUCENE-1899","2009-09-08","2009-09-09","1"
"SOLR-5515","2013-11-28","2013-11-30","2"
"SOLR-6197","2014-06-24","2014-06-25","1"
"SOLR-1475","2009-09-29","2009-10-09","10"
"SOLR-3960","2012-10-17","2012-11-27","41"
"LUCENE-5919","2014-09-03","2014-09-19","16"
"SOLR-3226","2012-03-09","2012-04-02","24"
"LUCENE-1459","2008-11-18","2009-02-19","93"
"LUCENE-5977","2014-09-29","2014-09-29","0"
"LUCENE-820","2007-03-03","2007-03-04","1"
"LUCENE-1150","2008-01-25","2008-04-15","81"
"SOLR-726","2008-08-26","2008-08-29","3"
"LUCENE-5996","2014-10-07","2014-10-07","0"
"SOLR-7370","2015-04-09","2015-04-10","1"
"LUCENE-5623","2014-04-21","2014-04-21","0"
"SOLR-3770","2012-08-30","2012-08-30","0"
"LUCENE-1734","2009-07-04","2009-07-06","2"
"LUCENE-610","2006-06-22","2006-06-22","0"
"LUCENE-3463","2011-09-25","2011-10-05","10"
"LUCENE-5616","2014-04-18","2014-04-18","0"
"SOLR-1748","2010-02-02","2010-02-04","2"
"LUCENE-3506","2011-10-11","2011-10-25","14"
"LUCENE-3362","2011-08-05","2011-08-08","3"
"LUCENE-237","2004-07-10","2006-05-27","686"
"SOLR-4935","2013-06-18","2013-06-21","3"
"SOLR-4140","2012-12-03","2012-12-13","10"
"SOLR-1253","2009-07-01","2009-07-02","1"
"SOLR-4137","2012-12-03","2013-04-10","128"
"SOLR-47","2006-09-14","2006-09-14","0"
"LUCENE-3326","2011-07-18","2011-07-18","0"
"SOLR-6037","2014-05-01","2014-05-02","1"
"SOLR-2335","2011-01-24","2011-04-12","78"
"LUCENE-5399","2014-01-14","2014-01-16","2"
"SOLR-167","2007-02-20","2007-03-01","9"
"LUCENE-727","2006-11-26","2006-11-28","2"
"LUCENE-1647","2009-05-20","2009-05-23","3"
"SOLR-2657","2011-07-15","2011-08-15","31"
"LUCENE-661","2006-08-22","2006-11-19","89"
"SOLR-4505","2013-02-26","2013-03-01","3"
"LUCENE-225","2004-05-17","2006-05-27","740"
"LUCENE-1005","2007-09-23","2007-09-28","5"
"SOLR-2500","2011-05-05","2011-07-07","63"
"LUCENE-68","2002-11-13","2006-05-27","1291"
"LUCENE-4390","2012-09-14","2012-09-15","1"
"LUCENE-2220","2010-01-17","2010-01-17","0"
"SOLR-1539","2009-11-02","2009-11-21","19"
"LUCENE-6491","2015-05-20","2015-05-21","1"
"LUCENE-353","2005-03-02","2006-05-27","451"
"LUCENE-5954","2014-09-15","2015-06-09","267"
"SOLR-7223","2015-03-10","2015-07-06","118"
"SOLR-5532","2013-12-05","2014-01-05","31"
"SOLR-873","2008-11-20","2008-11-20","0"
"LUCENE-127","2004-05-14","2006-05-27","743"
"SOLR-1207","2009-06-08","2009-06-08","0"
"SOLR-2970","2011-12-14","2012-01-18","35"
"LUCENE-1222","2008-03-11","2008-03-11","0"
"SOLR-6768","2014-11-20","2014-12-02","12"
"LUCENE-4206","2012-07-10","2012-07-10","0"
"SOLR-5876","2014-03-18","2014-03-18","0"
"SOLR-5761","2014-02-21","2014-03-03","10"
"LUCENE-698","2006-10-25","2007-05-30","217"
"SOLR-755","2008-09-05","2008-09-05","0"
"SOLR-3410","2012-04-25","2012-04-25","0"
"SOLR-1135","2009-04-29","2009-04-30","1"
"SOLR-2561","2011-05-31","2011-05-31","0"
"SOLR-7156","2015-02-25","2015-04-07","41"
"SOLR-3187","2012-03-01","2012-03-06","5"
"LUCENE-6538","2015-06-09","2015-06-12","3"
"SOLR-7421","2015-04-18","2015-04-26","8"
"LUCENE-1929","2009-09-27","2009-10-19","22"
"LUCENE-276","2004-09-15","2006-05-27","619"
"LUCENE-1358","2008-08-16","2008-11-10","86"
"LUCENE-696","2006-10-24","2006-10-25","1"
"LUCENE-1213","2008-03-09","2008-03-11","2"
"LUCENE-4034","2012-05-06","2012-05-06","0"
"LUCENE-4854","2013-03-19","2013-03-19","0"
"LUCENE-2366","2010-04-05","2010-04-13","8"
"SOLR-1543","2009-11-05","2009-11-06","1"
"SOLR-5273","2013-09-26","2013-09-26","0"
"SOLR-5281","2013-09-27","2013-09-27","0"
"SOLR-3035","2012-01-13","2012-01-27","14"
"LUCENE-4422","2012-09-24","2012-09-25","1"
"SOLR-4599","2013-03-17","2013-03-19","2"
"SOLR-3933","2012-10-11","2012-10-26","15"
"LUCENE-6092","2014-12-03","2014-12-05","2"
