"issue_key","created","resolutiondate","days_to_solve"
"MAHOUT-1589","2014-06-28","2015-04-01","277"
"MAHOUT-1505","2014-04-02","2014-05-31","59"
"MAHOUT-1693","2015-04-21","2015-04-22","1"
"MAHOUT-489","2010-08-27","2010-09-24","28"
"MAHOUT-424","2010-06-22","2010-07-31","39"
"MAHOUT-795","2011-08-22","2011-09-07","16"
"MAHOUT-844","2011-10-17","2011-10-17","0"
"MAHOUT-267","2010-01-27","2010-01-28","1"
"MAHOUT-890","2011-11-20","2012-01-17","58"
"MAHOUT-453","2010-07-28","2010-09-24","58"
"MAHOUT-1077","2012-09-25","2013-01-18","115"
"MAHOUT-632","2011-03-22","2011-06-22","92"
"MAHOUT-101","2008-12-03","2008-12-03","0"
"MAHOUT-545","2010-11-15","2010-12-30","45"
"MAHOUT-1082","2012-09-26","2013-03-12","167"
